,SD,SGG,NAME_AD,CODE,CODE_AD,YEAR,A_R
0,서울특별시,종로구,청운효자동,1101072,1111051500,2019,17.103817
1,서울특별시,종로구,사직동,1101053,1111053000,2019,18.531725
2,서울특별시,종로구,삼청동,1101054,1111054000,2019,23.313995
3,서울특별시,종로구,부암동,1101055,1111055000,2019,17.386139
4,서울특별시,종로구,평창동,1101056,1111056000,2019,17.417868
5,서울특별시,종로구,무악동,1101057,1111057000,2019,16.25072
6,서울특별시,종로구,교남동,1101058,1111058000,2019,14.741527
7,서울특별시,종로구,가회동,1101060,1111060000,2019,20.83048
8,서울특별시,종로구,종로1·2·3·4가동,1101061,1111061500,2019,25.695309
9,서울특별시,종로구,종로5·6가동,1101063,1111063000,2019,20.868427
10,서울특별시,종로구,이화동,1101064,1111064000,2019,17.497133
11,서울특별시,종로구,혜화동,1101073,1111065000,2019,15.491876
12,서울특별시,종로구,창신1동,1101067,1111067000,2019,22.963951
13,서울특별시,종로구,창신2동,1101068,1111068000,2019,19.637426
14,서울특별시,종로구,창신3동,1101069,1111069000,2019,16.802702
15,서울특별시,종로구,숭인1동,1101070,1111070000,2019,18.645985
16,서울특별시,종로구,숭인2동,1101071,1111071000,2019,17.415731
17,서울특별시,중구,소공동,1102052,1114052000,2019,12.292683
18,서울특별시,중구,회현동,1102054,1114054000,2019,26.825546
19,서울특별시,중구,명동,1102055,1114055000,2019,24.55722
20,서울특별시,중구,필동,1102057,1114057000,2019,20.37547
21,서울특별시,중구,장충동,1102058,1114058000,2019,16.949873
22,서울특별시,중구,광희동,1102059,1114059000,2019,23.282366
23,서울특별시,중구,을지로동,1102060,1114060500,2019,26.526081
24,서울특별시,중구,신당동,1102069,1114061500,2019,17.592346
25,서울특별시,중구,다산동,1102070,1114062500,2019,17.596035
26,서울특별시,중구,약수동,1102071,1114063500,2019,20.490726
27,서울특별시,중구,청구동,1102072,1114064500,2019,18.192629
28,서울특별시,중구,신당5동,1102065,1114065000,2019,15.88971
29,서울특별시,중구,동화동,1102073,1114066500,2019,16.001848
30,서울특별시,중구,황학동,1102067,1114067000,2019,14.909092
31,서울특별시,중구,중림동,1102068,1114068000,2019,15.797813
32,서울특별시,용산구,후암동,1103051,1117051000,2019,16.629414
33,서울특별시,용산구,용산2가동,1103052,1117052000,2019,19.707748
34,서울특별시,용산구,남영동,1103053,1117053000,2019,20.486423
35,서울특별시,용산구,청파동,1103071,1117055500,2019,16.524633
36,서울특별시,용산구,원효로1동,1103072,1117056000,2019,11.98174
37,서울특별시,용산구,원효로2동,1103057,1117057000,2019,16.254635
38,서울특별시,용산구,효창동,1103058,1117058000,2019,13.91236
39,서울특별시,용산구,용문동,1103059,1117059000,2019,16.232723
40,서울특별시,용산구,한강로동,1103073,1117062500,2019,16.55364
41,서울특별시,용산구,이촌1동,1103063,1117063000,2019,15.418813
42,서울특별시,용산구,이촌2동,1103064,1117064000,2019,19.438202
43,서울특별시,용산구,이태원1동,1103065,1117065000,2019,22.518583
44,서울특별시,용산구,이태원2동,1103066,1117066000,2019,19.958937
45,서울특별시,용산구,한남동,1103074,1117068500,2019,17.073763
46,서울특별시,용산구,서빙고동,1103069,1117069000,2019,15.214946
47,서울특별시,용산구,보광동,1103070,1117070000,2019,18.97795
48,서울특별시,성동구,왕십리2동,1104052,1120052000,2019,14.287363
49,서울특별시,성동구,왕십리도선동,1104071,1120053500,2019,12.746609
50,서울특별시,성동구,마장동,1104054,1120054000,2019,15.671129
51,서울특별시,성동구,사근동,1104055,1120055000,2019,12.356862
52,서울특별시,성동구,행당1동,1104056,1120056000,2019,14.506346
53,서울특별시,성동구,행당2동,1104057,1120057000,2019,14.547528
54,서울특별시,성동구,응봉동,1104058,1120058000,2019,15.235732
55,서울특별시,성동구,금호1가동,1104059,1120059000,2019,14.92462
56,서울특별시,성동구,금호2·3가동,1104072,1120061500,2019,15.761142
57,서울특별시,성동구,금호4가동,1104062,1120062000,2019,14.710175
58,서울특별시,성동구,옥수동,1104073,1120064500,2019,14.054034
59,서울특별시,성동구,성수1가1동,1104065,1120065000,2019,12.286852
60,서울특별시,성동구,성수1가2동,1104066,1120066000,2019,13.509555
61,서울특별시,성동구,성수2가1동,1104067,1120067000,2019,15.944237
62,서울특별시,성동구,성수2가3동,1104068,1120069000,2019,15.499912
63,서울특별시,성동구,송정동,1104069,1120072000,2019,15.164234
64,서울특별시,성동구,용답동,1104070,1120079000,2019,17.19261
65,서울특별시,광진구,화양동,1105053,1121571000,2019,10.110168
66,서울특별시,광진구,군자동,1105054,1121573000,2019,14.260546
67,서울특별시,광진구,중곡1동,1105055,1121574000,2019,14.881253
68,서울특별시,광진구,중곡2동,1105056,1121575000,2019,13.714285
69,서울특별시,광진구,중곡3동,1105057,1121576000,2019,15.461259
70,서울특별시,광진구,중곡4동,1105058,1121577000,2019,15.689856
71,서울특별시,광진구,능동,1105059,1121578000,2019,13.152221
72,서울특별시,광진구,광장동,1105063,1121581000,2019,9.7344885
73,서울특별시,광진구,자양1동,1105064,1121582000,2019,13.894553
74,서울특별시,광진구,자양2동,1105065,1121583000,2019,13.953137
75,서울특별시,광진구,자양3동,1105066,1121584000,2019,12.922234
76,서울특별시,광진구,자양4동,1105067,1121584700,2019,18.738483
77,서울특별시,광진구,구의1동,1105060,1121585000,2019,13.239841
78,서울특별시,광진구,구의2동,1105061,1121586000,2019,14.666229
79,서울특별시,광진구,구의3동,1105062,1121587000,2019,12.513006
80,서울특별시,동대문구,용신동,1106081,1123053600,2019,17.769865
81,서울특별시,동대문구,제기동,1106082,1123054500,2019,21.809578
82,서울특별시,동대문구,전농1동,1106083,1123056000,2019,17.47986
83,서울특별시,동대문구,전농2동,1106084,1123057000,2019,17.866667
84,서울특별시,동대문구,답십리1동,1106091,1123060000,2019,13.24271
85,서울특별시,동대문구,답십리2동,1106086,1123061000,2019,17.454739
86,서울특별시,동대문구,장안1동,1106087,1123065000,2019,15.315689
87,서울특별시,동대문구,장안2동,1106088,1123066000,2019,14.435887
88,서울특별시,동대문구,청량리동,1106080,1123070500,2019,24.441082
89,서울특별시,동대문구,회기동,1106071,1123071000,2019,14.49472
90,서울특별시,동대문구,휘경1동,1106072,1123072000,2019,16.655205
91,서울특별시,동대문구,휘경2동,1106073,1123073000,2019,15.41307
92,서울특별시,동대문구,이문1동,1106089,1123074000,2019,17.039003
93,서울특별시,동대문구,이문2동,1106090,1123075000,2019,17.64336
94,서울특별시,중랑구,면목2동,1107052,1126052000,2019,16.4824
95,서울특별시,중랑구,면목4동,1107054,1126054000,2019,17.813211
96,서울특별시,중랑구,면목5동,1107055,1126055000,2019,16.525774
97,서울특별시,중랑구,면목본동,1107071,1126056500,2019,16.196486
98,서울특별시,중랑구,면목7동,1107057,1126057000,2019,17.995611
99,서울특별시,중랑구,면목3·8동,1107072,1126057500,2019,17.788149
100,서울특별시,중랑구,상봉1동,1107059,1126058000,2019,13.566749
101,서울특별시,중랑구,상봉2동,1107060,1126059000,2019,14.356004
102,서울특별시,중랑구,중화1동,1107061,1126060000,2019,15.75316
103,서울특별시,중랑구,중화2동,1107062,1126061000,2019,17.814371
104,서울특별시,중랑구,묵1동,1107064,1126062000,2019,15.079808
105,서울특별시,중랑구,묵2동,1107065,1126063000,2019,16.471725
106,서울특별시,중랑구,망우본동,1107073,1126065500,2019,17.928429
107,서울특별시,중랑구,망우3동,1107068,1126066000,2019,17.582792
108,서울특별시,중랑구,신내1동,1107069,1126068000,2019,15.3744135
109,서울특별시,중랑구,신내2동,1107070,1126069000,2019,16.740007
110,서울특별시,성북구,성북동,1108081,1129052500,2019,17.57359
111,서울특별시,성북구,삼선동,1108082,1129055500,2019,15.720093
112,서울특별시,성북구,동선동,1108083,1129057500,2019,14.152349
113,서울특별시,성북구,돈암1동,1108058,1129058000,2019,17.296751
114,서울특별시,성북구,돈암2동,1108059,1129059000,2019,13.01749
115,서울특별시,성북구,안암동,1108060,1129060000,2019,13.962093
116,서울특별시,성북구,보문동,1108061,1129061000,2019,14.317303
117,서울특별시,성북구,정릉1동,1108062,1129062000,2019,15.506045
118,서울특별시,성북구,정릉2동,1108063,1129063000,2019,17.712004
119,서울특별시,성북구,정릉3동,1108064,1129064000,2019,20.236649
120,서울특별시,성북구,정릉4동,1108065,1129065000,2019,17.399872
121,서울특별시,성북구,길음1동,1108066,1129066000,2019,11.539818
