,SD,SGG,NAME_AD,CODE,CODE_AD,ALL,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_94,95_99,100_,YEAR
0,서울특별시,종로구,청운효자동,1101072,1111051500,13045.0,425.0,535.0,629.0,715.0,830.0,823.0,837.0,1062.0,1057.0,1255.0,1073.0,914.0,741.0,565.0,536.0,503.0,319.0,135.0,53.0,22.0,16.0,2018
1,서울특별시,종로구,사직동,1101053,1111053000,9546.0,293.0,371.0,378.0,402.0,506.0,645.0,695.0,741.0,735.0,847.0,759.0,762.0,656.0,458.0,412.0,379.0,289.0,128.0,50.0,23.0,17.0,2018
2,서울특별시,종로구,삼청동,1101054,1111054000,2836.0,62.0,76.0,102.0,116.0,169.0,179.0,190.0,231.0,177.0,215.0,216.0,251.0,231.0,161.0,154.0,136.0,86.0,52.0,19.0,6.0,7.0,2018
3,서울특별시,종로구,부암동,1101055,1111055000,10149.0,220.0,358.0,441.0,515.0,702.0,722.0,598.0,722.0,705.0,961.0,881.0,833.0,755.0,475.0,440.0,373.0,244.0,125.0,51.0,18.0,10.0,2018
4,서울특별시,종로구,평창동,1101056,1111056000,18951.0,576.0,655.0,770.0,1138.0,1403.0,1297.0,1076.0,1283.0,1219.0,1724.0,1651.0,1658.0,1357.0,880.0,754.0,649.0,450.0,233.0,116.0,38.0,24.0,2018
5,서울특별시,종로구,무악동,1101057,1111057000,8215.0,267.0,415.0,476.0,535.0,491.0,420.0,359.0,552.0,647.0,912.0,642.0,664.0,528.0,388.0,304.0,293.0,186.0,77.0,29.0,14.0,16.0,2018
6,서울특별시,종로구,교남동,1101058,1111058000,10701.0,483.0,459.0,406.0,459.0,621.0,764.0,897.0,1026.0,886.0,1018.0,792.0,758.0,654.0,450.0,356.0,359.0,183.0,76.0,30.0,11.0,13.0,2018
7,서울특별시,종로구,가회동,1101060,1111060000,4429.0,91.0,136.0,161.0,213.0,258.0,260.0,260.0,341.0,341.0,454.0,352.0,372.0,297.0,249.0,241.0,201.0,100.0,56.0,32.0,7.0,7.0,2018
8,서울특별시,종로구,종로1·2·3·4가동,1101061,1111061500,7420.0,121.0,121.0,84.0,162.0,396.0,537.0,470.0,465.0,397.0,570.0,618.0,829.0,812.0,565.0,435.0,392.0,210.0,115.0,53.0,34.0,34.0,2018
9,서울특별시,종로구,종로5·6가동,1101063,1111063000,5225.0,61.0,70.0,108.0,203.0,445.0,503.0,350.0,281.0,272.0,431.0,492.0,513.0,408.0,309.0,311.0,222.0,133.0,61.0,29.0,16.0,7.0,2018
