,SD,SGG,NAME_AD,CODE,CODE_AD,B_ALL,B_M,B_F,PM_ALL,PM_M,PM_F,CBR,YEAR
0,서울특별시,종로구,청운효자동,1101072,1111051500,89.0,44.0,45.0,13481.0,6362.0,7119.0,6.601884133224538,2017
1,서울특별시,종로구,사직동,1101053,1111053000,47.0,31.0,16.0,9436.0,4287.0,5149.0,4.980924120389996,2017
2,서울특별시,종로구,삼청동,1101054,1111054000,12.0,4.0,8.0,2944.0,1397.0,1547.0,4.076086956521739,2017
3,서울특별시,종로구,부암동,1101055,1111055000,44.0,17.0,27.0,10428.0,5046.0,5382.0,4.219409282700422,2017
4,서울특별시,종로구,평창동,1101056,1111056000,92.0,42.0,50.0,19098.0,9041.0,10057.0,4.817258351659859,2017
5,서울특별시,종로구,무악동,1101057,1111057000,47.0,26.0,21.0,8339.0,3911.0,4428.0,5.636167406163809,2017
6,서울특별시,종로구,교남동,1101058,1111058000,63.0,32.0,31.0,9017.0,4260.0,4757.0,6.986802705999778,2017
7,서울특별시,종로구,가회동,1101060,1111060000,21.0,10.0,11.0,4618.0,2151.0,2467.0,4.54742312689476,2017
8,서울특별시,종로구,종로1·2·3·4가동,1101061,1111061500,13.0,7.0,6.0,7572.0,4500.0,3072.0,1.7168515583729531,2017
9,서울특별시,종로구,종로5·6가동,1101063,1111063000,10.0,5.0,5.0,5439.0,2993.0,2446.0,1.8385732671446957,2017
10,서울특별시,종로구,이화동,1101064,1111064000,38.0,11.0,27.0,8332.0,3893.0,4439.0,4.560729716754681,2017
11,서울특별시,종로구,혜화동,1101073,1111065000,62.0,32.0,30.0,17483.0,8557.0,8926.0,3.546302122061431,2017
12,서울특별시,종로구,창신1동,1101067,1111067000,19.0,7.0,12.0,5622.0,3036.0,2586.0,3.3795802205620773,2017
13,서울특별시,종로구,창신2동,1101068,1111068000,23.0,14.0,9.0,9304.0,4741.0,4563.0,2.472055030094583,2017
14,서울특별시,종로구,창신3동,1101069,1111069000,48.0,28.0,20.0,7418.0,3683.0,3735.0,6.470746832030197,2017
15,서울특별시,종로구,숭인1동,1101070,1111070000,38.0,20.0,18.0,6635.0,3304.0,3331.0,5.727204220045215,2017
16,서울특별시,종로구,숭인2동,1101071,1111071000,38.0,15.0,23.0,9636.0,4922.0,4714.0,3.9435450394354503,2017
17,서울특별시,중구,소공동,1102052,1114052000,25.0,13.0,12.0,1975.0,984.0,991.0,12.658227848101266,2017
18,서울특별시,중구,회현동,1102054,1114054000,34.0,19.0,15.0,5361.0,2939.0,2422.0,6.342100354411491,2017
19,서울특별시,중구,명동,1102055,1114055000,10.0,3.0,7.0,2987.0,1262.0,1725.0,3.3478406427854033,2017
20,서울특별시,중구,필동,1102057,1114057000,20.0,13.0,7.0,4074.0,2098.0,1976.0,4.909180166912126,2017
21,서울특별시,중구,장충동,1102058,1114058000,17.0,10.0,7.0,4857.0,2475.0,2382.0,3.5001029442042415,2017
22,서울특별시,중구,광희동,1102059,1114059000,11.0,7.0,4.0,5058.0,2682.0,2376.0,2.1747726374060896,2017
23,서울특별시,중구,을지로동,1102060,1114060500,7.0,4.0,3.0,1687.0,1060.0,627.0,4.149377593360996,2017
24,서울특별시,중구,신당동,1102069,1114061500,44.0,15.0,29.0,7926.0,4010.0,3916.0,5.551349987383295,2017
25,서울특별시,중구,다산동,1102070,1114062500,76.0,41.0,35.0,15097.0,7324.0,7773.0,5.034112737629993,2017
26,서울특별시,중구,약수동,1102071,1114063500,133.0,66.0,67.0,18289.0,8690.0,9599.0,7.272130788998852,2017
27,서울특별시,중구,청구동,1102072,1114064500,107.0,62.0,45.0,14903.0,7158.0,7745.0,7.179762463933436,2017
28,서울특별시,중구,신당5동,1102065,1114065000,60.0,28.0,32.0,9657.0,4814.0,4843.0,6.2131096613855235,2017
29,서울특별시,중구,동화동,1102073,1114066500,83.0,36.0,47.0,11346.0,5481.0,5865.0,7.315353428521065,2017
30,서울특별시,중구,황학동,1102067,1114067000,107.0,52.0,55.0,12184.0,6030.0,6154.0,8.782009192383454,2017
31,서울특별시,중구,중림동,1102068,1114068000,83.0,35.0,48.0,8525.0,4318.0,4207.0,9.736070381231672,2017
32,서울특별시,용산구,후암동,1103051,1117051000,132.0,60.0,72.0,18432.0,9026.0,9406.0,7.161458333333333,2017
33,서울특별시,용산구,용산2가동,1103052,1117052000,58.0,29.0,29.0,11116.0,5343.0,5773.0,5.217704210147535,2017
34,서울특별시,용산구,남영동,1103053,1117053000,33.0,17.0,16.0,8041.0,4940.0,3101.0,4.1039671682626535,2017
35,서울특별시,용산구,청파동,1103071,1117055500,87.0,46.0,41.0,20753.0,9949.0,10804.0,4.192164988194477,2017
36,서울특별시,용산구,원효로1동,1103072,1117056000,152.0,81.0,71.0,14296.0,6977.0,7319.0,10.632344711807498,2017
37,서울특별시,용산구,원효로2동,1103057,1117057000,92.0,48.0,44.0,15128.0,7095.0,8033.0,6.081438392384982,2017
38,서울특별시,용산구,효창동,1103058,1117058000,77.0,34.0,43.0,9446.0,4568.0,4878.0,8.151598560237137,2017
39,서울특별시,용산구,용문동,1103059,1117059000,104.0,55.0,49.0,12626.0,6108.0,6518.0,8.236971329003643,2017
40,서울특별시,용산구,한강로동,1103073,1117062500,81.0,43.0,38.0,15167.0,7488.0,7679.0,5.340541966110635,2017
41,서울특별시,용산구,이촌1동,1103063,1117063000,214.0,95.0,119.0,27721.0,12887.0,14834.0,7.719779228743551,2017
42,서울특별시,용산구,이촌2동,1103064,1117064000,77.0,42.0,35.0,9195.0,4347.0,4848.0,8.374116367591082,2017
43,서울특별시,용산구,이태원1동,1103065,1117065000,33.0,15.0,18.0,7258.0,3391.0,3867.0,4.546707081840728,2017
44,서울특별시,용산구,이태원2동,1103066,1117066000,45.0,26.0,19.0,9465.0,4425.0,5040.0,4.754358161648177,2017
45,서울특별시,용산구,한남동,1103074,1117068500,133.0,69.0,64.0,20808.0,9982.0,10826.0,6.3917723952326035,2017
46,서울특별시,용산구,서빙고동,1103069,1117069000,69.0,33.0,36.0,13730.0,6626.0,7104.0,5.025491624180626,2017
47,서울특별시,용산구,보광동,1103070,1117070000,64.0,29.0,35.0,15584.0,7641.0,7943.0,4.106776180698152,2017
48,서울특별시,성동구,왕십리2동,1104052,1120052000,127.0,75.0,52.0,16492.0,8120.0,8372.0,7.700703371331555,2017
49,서울특별시,성동구,왕십리도선동,1104071,1120053500,245.0,134.0,111.0,26662.0,12902.0,13760.0,9.189108093916435,2017
50,서울특별시,성동구,마장동,1104054,1120054000,153.0,82.0,71.0,23647.0,11722.0,11925.0,6.4701653486700215,2017
51,서울특별시,성동구,사근동,1104055,1120055000,56.0,24.0,32.0,11244.0,5853.0,5391.0,4.980434009249377,2017
