,SGG_cd,SD,SGG,ALL,N_AGING,A_R,N_YOUNG,Y_R
0,1101,서울특별시,종로구,154770.0,26030.0,16.82,14416.0,9.31
1,1102,서울특별시,중구,125709.0,21148.0,16.82,11306.0,8.99
2,1103,서울특별시,용산구,229161.0,36488.0,15.92,23174.0,10.11
3,1104,서울특별시,성동구,304808.0,41152.0,13.5,33732.0,11.07
4,1105,서울특별시,광진구,357703.0,43790.0,12.24,37469.0,10.47
5,1106,서울특별시,동대문구,350647.0,55547.0,15.84,35637.0,10.16
6,1107,서울특별시,중랑구,408226.0,59189.0,14.5,41660.0,10.21
7,1108,서울특별시,성북구,444055.0,66121.0,14.89,52354.0,11.79
8,1109,서울특별시,강북구,324479.0,56437.0,17.39,31728.0,9.78
9,1110,서울특별시,도봉구,344166.0,53445.0,15.53,36873.0,10.71
10,1111,서울특별시,노원구,554403.0,74178.0,13.38,68323.0,12.32
11,1112,서울특별시,은평구,486794.0,74400.0,15.28,55045.0,11.31
12,1113,서울특별시,서대문구,312800.0,48898.0,15.63,33339.0,10.66
13,1114,서울특별시,마포구,374915.0,49356.0,13.16,43580.0,11.62
14,1115,서울특별시,양천구,471154.0,55136.0,11.7,62121.0,13.18
15,1116,서울특별시,강서구,601691.0,75845.0,12.61,72181.0,12.0
16,1117,서울특별시,구로구,410742.0,58213.0,14.17,49240.0,11.99
17,1118,서울특별시,금천구,235154.0,33842.0,14.39,23079.0,9.81
18,1119,서울특별시,영등포구,368550.0,53299.0,14.46,39406.0,10.69
19,1120,서울특별시,동작구,396217.0,57071.0,14.4,43210.0,10.91
20,1121,서울특별시,관악구,503297.0,69729.0,13.85,44110.0,8.76
21,1122,서울특별시,서초구,441102.0,53119.0,12.04,62043.0,14.07
22,1123,서울특별시,강남구,556164.0,64946.0,11.68,68591.0,12.33
23,1124,서울특별시,송파구,664496.0,76442.0,11.5,84755.0,12.75
24,1125,서울특별시,강동구,436223.0,56080.0,12.86,51894.0,11.9
25,2101,부산광역시,중구,44218.0,10082.0,22.8,2930.0,6.63
26,2102,부산광역시,서구,110039.0,24462.0,22.23,9311.0,8.46
27,2103,부산광역시,동구,88868.0,21076.0,23.72,6721.0,7.56
28,2104,부산광역시,영도구,123521.0,28293.0,22.91,10384.0,8.41
29,2105,부산광역시,부산진구,371703.0,62942.0,16.93,37361.0,10.05
30,2106,부산광역시,동래구,270727.0,42697.0,15.77,31724.0,11.72
31,2107,부산광역시,남구,273854.0,47964.0,17.51,30535.0,11.15
32,2108,부산광역시,북구,302924.0,41000.0,13.53,34748.0,11.47
33,2109,부산광역시,해운대구,412039.0,59949.0,14.55,51127.0,12.41
34,2110,부산광역시,사하구,333301.0,50261.0,15.08,37806.0,11.34
35,2111,부산광역시,금정구,244469.0,42011.0,17.18,24153.0,9.88
36,2112,부산광역시,강서구,117382.0,13205.0,11.25,22311.0,19.01
37,2113,부산광역시,연제구,206742.0,33600.0,16.25,23585.0,11.41
38,2114,부산광역시,수영구,179996.0,32621.0,18.12,17399.0,9.67
39,2115,부산광역시,사상구,229219.0,32715.0,14.27,23536.0,10.27
40,2131,부산광역시,기장군,161651.0,22649.0,14.01,28357.0,17.54
41,2201,대구광역시,중구,78986.0,15531.0,19.66,8092.0,10.24
42,2202,대구광역시,동구,349379.0,58893.0,16.86,42638.0,12.2
43,2203,대구광역시,서구,191992.0,34758.0,18.1,15809.0,8.23
44,2204,대구광역시,남구,152845.0,31132.0,20.37,12875.0,8.42
45,2205,대구광역시,북구,441375.0,54257.0,12.29,59993.0,13.59
46,2206,대구광역시,수성구,439211.0,58905.0,13.41,59156.0,13.47
47,2207,대구광역시,달서구,578068.0,67033.0,11.6,75196.0,13.01
48,2231,대구광역시,달성군,190421.0,23576.0,12.38,30261.0,15.89
49,2301,인천광역시,중구,117999.0,16643.0,14.1,16668.0,14.13
50,2302,인천광역시,동구,69487.0,13168.0,18.95,8276.0,11.91
51,2303,인천광역시,남구,419267.0,60758.0,14.49,48506.0,11.57
52,2304,인천광역시,연수구,335142.0,28922.0,8.63,52373.0,15.63
53,2305,인천광역시,남동구,536578.0,58429.0,10.89,75676.0,14.1
54,2306,인천광역시,부평구,539941.0,63959.0,11.85,65884.0,12.2
55,2307,인천광역시,계양구,323784.0,31729.0,9.8,39124.0,12.08
56,2308,인천광역시,서구,516017.0,46129.0,8.94,80788.0,15.66
57,2331,인천광역시,강화군,68485.0,20322.0,29.67,5859.0,8.56
58,2332,인천광역시,옹진군,20249.0,4426.0,21.86,1746.0,8.62
59,2401,광주광역시,동구,95448.0,20047.0,21.0,9243.0,9.68
60,2402,광주광역시,서구,306957.0,36991.0,12.05,42246.0,13.76
61,2403,광주광역시,남구,218454.0,33727.0,15.44,29568.0,13.54
62,2404,광주광역시,북구,438780.0,56532.0,12.88,58869.0,13.42
63,2405,광주광역시,광산구,404131.0,33565.0,8.31,74009.0,18.31
64,2501,대전광역시,동구,230516.0,37240.0,16.16,28479.0,12.35
65,2502,대전광역시,중구,248933.0,40354.0,16.21,30533.0,12.27
