,SGG_cd,SD,SGG,B_ALL,PM_ALL,CBR
0,1101,서울특별시,종로구,704.0,154802.0,0.45
1,1102,서울특별시,중구,817.0,123926.0,0.66
2,1103,서울특별시,용산구,1451.0,228766.0,0.63
3,1104,서울특별시,성동구,2493.0,304236.0,0.82
4,1105,서울특별시,광진구,2388.0,357419.0,0.67
5,1106,서울특별시,동대문구,2135.0,352714.0,0.61
6,1107,서울특별시,중랑구,2772.0,410565.0,0.68
7,1108,서울특별시,성북구,2682.0,447730.0,0.6
8,1109,서울특별시,강북구,1811.0,326174.0,0.56
9,1110,서울특별시,도봉구,1944.0,345807.0,0.56
10,1111,서울특별시,노원구,3484.0,561412.0,0.62
11,1112,서울특별시,은평구,2942.0,487695.0,0.6
12,1113,서울특별시,서대문구,1940.0,314702.0,0.62
13,1114,서울특별시,마포구,2854.0,377568.0,0.76
14,1115,서울특별시,양천구,2901.0,473908.0,0.61
15,1116,서울특별시,강서구,4812.0,600852.0,0.8
16,1117,서울특별시,구로구,3179.0,414673.0,0.77
17,1118,서울특별시,금천구,1528.0,236129.0,0.65
18,1119,서울특별시,영등포구,2834.0,369046.0,0.77
19,1120,서울특별시,동작구,2824.0,399191.0,0.71
20,1121,서울특별시,관악구,2999.0,505993.0,0.59
21,1122,서울특별시,서초구,3142.0,443230.0,0.71
22,1123,서울특별시,강남구,3559.0,563050.0,0.63
23,1124,서울특별시,송파구,5038.0,661580.0,0.76
24,1125,서울특별시,강동구,3049.0,447444.0,0.68
25,2101,부산광역시,중구,173.0,44689.0,0.39
26,2102,부산광역시,서구,470.0,111352.0,0.42
27,2103,부산광역시,동구,382.0,88836.0,0.43
28,2104,부산광역시,영도구,484.0,124230.0,0.39
29,2105,부산광역시,부산진구,2303.0,375032.0,0.61
30,2106,부산광역시,동래구,1486.0,273379.0,0.54
31,2107,부산광역시,남구,1442.0,276118.0,0.52
32,2108,부산광역시,북구,2146.0,306723.0,0.7
33,2109,부산광역시,해운대구,2329.0,415768.0,0.56
34,2110,부산광역시,사하구,2096.0,333925.0,0.63
35,2111,부산광역시,금정구,1224.0,243033.0,0.5
36,2112,부산광역시,강서구,1745.0,115884.0,1.51
37,2113,부산광역시,연제구,1305.0,207397.0,0.63
38,2114,부산광역시,수영구,1099.0,178403.0,0.62
39,2115,부산광역시,사상구,1464.0,230748.0,0.63
40,2131,부산광역시,기장군,1648.0,159319.0,1.03
41,2201,대구광역시,중구,595.0,78726.0,0.76
42,2202,대구광역시,동구,2482.0,351198.0,0.71
43,2203,대구광역시,서구,885.0,196096.0,0.45
44,2204,대구광역시,남구,734.0,154644.0,0.47
45,2205,대구광역시,북구,3057.0,439565.0,0.7
46,2206,대구광역시,수성구,2020.0,443380.0,0.46
47,2207,대구광역시,달서구,3757.0,586404.0,0.64
48,2231,대구광역시,달성군,1944.0,185191.0,1.05
49,2301,인천광역시,중구,797.0,116406.0,0.68
50,2302,인천광역시,동구,437.0,70267.0,0.62
51,2303,인천광역시,남구,2934.0,420039.0,0.7
52,2304,인천광역시,연수구,2511.0,332901.0,0.75
53,2305,인천광역시,남동구,3943.0,533655.0,0.74
54,2306,인천광역시,부평구,3876.0,545941.0,0.71
55,2307,인천광역시,계양구,2000.0,326879.0,0.61
56,2308,인천광역시,서구,3957.0,511969.0,0.77
57,2331,인천광역시,강화군,241.0,67969.0,0.35
58,2332,인천광역시,옹진군,99.0,20171.0,0.49
59,2401,광주광역시,동구,519.0,96602.0,0.54
60,2402,광주광역시,서구,2054.0,308793.0,0.67
61,2403,광주광역시,남구,1327.0,218459.0,0.61
62,2404,광주광역시,북구,3053.0,438895.0,0.7
63,2405,광주광역시,광산구,3328.0,403666.0,0.82
64,2501,대전광역시,동구,1442.0,232650.0,0.62
65,2502,대전광역시,중구,1442.0,250501.0,0.58
66,2503,대전광역시,서구,3562.0,488156.0,0.73
67,2504,대전광역시,유성구,3427.0,347266.0,0.99
68,2505,대전광역시,대덕구,1133.0,189024.0,0.6
69,2601,울산광역시,중구,1836.0,241023.0,0.76
70,2602,울산광역시,남구,2459.0,337769.0,0.73
71,2603,울산광역시,동구,1738.0,171341.0,1.01
72,2604,울산광역시,북구,1899.0,197938.0,0.96
73,2631,울산광역시,울주군,1630.0,218871.0,0.74
