,SD,SGG,CODE,FI,SGG_cd,FI_Mean
0,서울특별시,종로구,11010,54.9,1101,704.0
1,서울특별시,중구,11020,62.4,1102,817.0
2,서울특별시,용산구,11030,48.7,1103,1451.0
3,서울특별시,성동구,11040,39.6,1104,2493.0
4,서울특별시,광진구,11050,33.5,1105,2388.0
5,서울특별시,동대문구,11060,28.9,1106,2135.0
6,서울특별시,중랑구,11070,23.2,1107,2772.0
7,서울특별시,성북구,11080,26.6,1108,2682.0
8,서울특별시,강북구,11090,25.4,1109,1811.0
9,서울특별시,도봉구,11100,26.1,1110,1944.0
10,서울특별시,노원구,11110,20.8,1111,3484.0
11,서울특별시,은평구,11120,24.0,1112,2942.0
12,서울특별시,서대문구,11130,32.5,1113,1940.0
13,서울특별시,마포구,11140,41.6,1114,2854.0
14,서울특별시,양천구,11150,31.6,1115,2901.0
15,서울특별시,강서구,11160,26.9,1116,4812.0
16,서울특별시,구로구,11170,26.7,1117,3179.0
17,서울특별시,금천구,11180,30.2,1118,1528.0
18,서울특별시,영등포구,11190,44.3,1119,2834.0
19,서울특별시,동작구,11200,34.2,1120,2824.0
20,서울특별시,관악구,11210,25.8,1121,2999.0
21,서울특별시,서초구,11220,68.5,1122,3142.0
22,서울특별시,강남구,11230,67.6,1123,3559.0
23,서울특별시,송파구,11240,49.2,1124,5038.0
24,서울특별시,강동구,11250,34.8,1125,3049.0
25,부산광역시,중구,21010,30.4,2101,173.0
26,부산광역시,서구,21020,16.7,2102,470.0
27,부산광역시,동구,21030,16.6,2103,382.0
28,부산광역시,영도구,21040,13.5,2104,484.0
29,부산광역시,부산진구,21050,27.2,2105,2303.0
30,부산광역시,동래구,21060,23.4,2106,1486.0
31,부산광역시,남구,21070,31.4,2107,1442.0
32,부산광역시,북구,21080,17.0,2108,2146.0
33,부산광역시,해운대구,21090,32.0,2109,2329.0
34,부산광역시,사하구,21100,21.7,2110,2096.0
35,부산광역시,금정구,21110,24.1,2111,1224.0
36,부산광역시,강서구,21120,53.9,2112,1745.0
37,부산광역시,연제구,21130,24.7,2113,1305.0
38,부산광역시,수영구,21140,25.5,2114,1099.0
39,부산광역시,사상구,21150,24.6,2115,1464.0
40,부산광역시,기장군,21310,37.7,2131,1648.0
41,대구광역시,중구,22010,32.0,2201,595.0
42,대구광역시,동구,22020,21.0,2202,2482.0
43,대구광역시,서구,22030,17.2,2203,885.0
44,대구광역시,남구,22040,17.5,2204,734.0
45,대구광역시,북구,22050,22.7,2205,3057.0
46,대구광역시,수성구,22060,29.1,2206,2020.0
47,대구광역시,달서구,22070,26.5,2207,3757.0
48,대구광역시,달성군,22310,40.6,2231,1944.0
49,인천광역시,중구,23010,51.6,2301,797.0
50,인천광역시,동구,23020,24.2,2302,437.0
51,인천광역시,남구,23030,21.5,2303,2934.0
52,인천광역시,연수구,23040,44.5,2304,2511.0
53,인천광역시,남동구,23050,33.7,2305,3943.0
54,인천광역시,부평구,23060,22.9,2306,3876.0
55,인천광역시,계양구,23070,22.9,2307,2000.0
56,인천광역시,서구,23080,40.6,2308,3957.0
57,인천광역시,강화군,23310,16.2,2331,241.0
58,인천광역시,옹진군,23320,17.7,2332,99.0
59,광주광역시,동구,24010,15.6,2401,519.0
60,광주광역시,서구,24020,24.8,2402,2054.0
61,광주광역시,남구,24030,14.6,2403,1327.0
62,광주광역시,북구,24040,14.5,2404,3053.0
63,광주광역시,광산구,24050,22.5,2405,3328.0
64,대전광역시,동구,25010,15.3,2501,1442.0
65,대전광역시,중구,25020,19.1,2502,1442.0
66,대전광역시,서구,25030,26.2,2503,3562.0
67,대전광역시,유성구,25040,38.5,2504,3427.0
68,대전광역시,대덕구,25050,21.6,2505,1133.0
69,울산광역시,중구,26010,21.4,2601,1836.0
70,울산광역시,남구,26020,39.4,2602,2459.0
71,울산광역시,동구,26030,27.9,2603,1738.0
72,울산광역시,북구,26040,32.7,2604,1899.0
73,울산광역시,울주군,26310,49.7,2631,1630.0
74,세종특별자치시,세종특별자치시,29,70.5,29,9651.0
75,경기도,수원시,31010,58.8,3101,7536.0
76,경기도,성남시,31020,63.6,3102,2607.0
77,경기도,의정부시,31030,34.8,3103,4176.0
78,경기도,안양시,31040,52.6,3104,6146.0
79,경기도,부천시,31050,42.4,3105,2398.0
80,경기도,광명시,31060,47.2,3106,3943.0
81,경기도,평택시,31070,46.1,3107,582.0
82,경기도,동두천시,31080,31.7,3108,3279.0
83,경기도,안산시,31090,72.2,3109,6768.0
84,경기도,고양시,31100,53.8,3110,336.0
85,경기도,과천시,31110,58.1,3111,1329.0
86,경기도,구리시,31120,38.7,3112,3983.0
87,경기도,남양주시,31130,39.8,3113,1978.0
88,경기도,오산시,31140,48.8,3114,2854.0
89,경기도,시흥시,31150,55.2,3115,2305.0
90,경기도,군포시,31160,47.0,3116,955.0
91,경기도,의왕시,31170,51.2,3117,1857.0
92,경기도,하남시,31180,52.7,3118,6848.0
93,경기도,용인시,31190,63.4,3119,3443.0
94,경기도,파주시,31200,42.5,3120,1751.0
95,경기도,이천시,31210,51.0,3121,1236.0
96,경기도,안성시,31220,36.8,3122,2575.0
97,경기도,김포시,31230,51.9,3123,7053.0
98,경기도,화성시,31240,67.3,3124,2901.0
99,경기도,광주시,31250,53.4,3125,1418.0
100,경기도,양주시,31260,38.1,3126,895.0
101,경기도,포천시,31270,31.8,3127,642.0
102,경기도,여주시,31280,36.7,3128,346.0
103,경기도,연천군,31350,23.5,3135,370.0
104,경기도,가평군,31370,25.3,3137,622.0
105,경기도,양평군,31380,25.0,3138,1768.0
106,강원도,춘천시,32010,28.7,3201,2331.0
107,강원도,원주시,32020,27.7,3202,1106.0
108,강원도,강릉시,32030,23.7,3203,585.0
109,강원도,동해시,32040,20.9,3204,240.0
110,강원도,태백시,32050,29.9,3205,376.0
111,강원도,속초시,32060,23.7,3206,337.0
112,강원도,삼척시,32070,17.7,3207,384.0
113,강원도,홍천군,32310,18.8,3231,187.0
114,강원도,횡성군,32320,16.2,3232,137.0
115,강원도,영월군,32330,20.2,3233,186.0
116,강원도,평창군,32340,14.0,3234,156.0
117,강원도,정선군,32350,31.7,3235,339.0
118,강원도,철원군,32360,12.8,3236,204.0
119,강원도,화천군,32370,13.7,3237,203.0
120,강원도,양구군,32380,17.5,3238,321.0
121,강원도,인제군,32390,12.0,3239,135.0
122,강원도,고성군,32400,14.9,3240,102.0
123,강원도,양양군,32410,14.9,3241,1233.0
124,충청북도,청주시,33040,40.5,3304,764.0
125,충청북도,충주시,33020,22.9,3302,7039.0
126,충청북도,제천시,33030,22.5,3303,176.0
127,충청북도,보은군,33320,10.0,3332,211.0
128,충청북도,옥천군,33330,18.6,3333,301.0
129,충청북도,영동군,33340,15.9,3334,516.0
130,충청북도,증평군,33390,19.8,3339,133.0
131,충청북도,진천군,33350,30.4,3335,677.0
132,충청북도,괴산군,33360,14.1,3336,96.0
133,충청북도,음성군,33370,32.9,3337,378.0
134,충청북도,단양군,33380,17.9,3338,5487.0
135,충청남도,천안시,34010,46.1,3401,584.0
136,충청남도,공주시,34020,18.4,3402,540.0
137,충청남도,보령시,34030,21.3,3403,3050.0
138,충청남도,아산시,34040,47.1,3404,1416.0
139,충청남도,서산시,34050,35.4,3405,655.0
140,충청남도,논산시,34060,16.9,3406,325.0
141,충청남도,계룡시,34070,21.9,3407,1612.0
142,충청남도,당진시,34080,37.6,3408,240.0
143,충청남도,금산군,34310,19.8,3431,272.0
144,충청남도,부여군,34330,12.7,3433,219.0
145,충청남도,서천군,34340,12.6,3434,121.0
146,충청남도,청양군,34350,16.7,3435,283.0
147,충청남도,홍성군,34360,20.9,3436,323.0
148,충청남도,예산군,34370,19.5,3437,265.0
149,충청남도,태안군,34380,19.6,3438,4363.0
150,전라북도,전주시,35010,31.7,3501,1817.0
151,전라북도,군산시,35020,24.7,3502,1898.0
152,전라북도,익산시,35030,20.9,3503,545.0
153,전라북도,정읍시,35040,12.1,3504,444.0
154,전라북도,남원시,35050,11.3,3505,428.0
155,전라북도,김제시,35060,15.4,3506,723.0
156,전라북도,완주군,35310,28.0,3531,150.0
157,전라북도,진안군,35320,13.3,3532,107.0
158,전라북도,무주군,35330,18.1,3533,106.0
159,전라북도,장수군,35340,15.7,3534,172.0
160,전라북도,임실군,35350,15.8,3535,216.0
161,전라북도,순창군,35360,16.3,3536,230.0
162,전라북도,고창군,35370,14.9,3537,293.0
163,전라북도,부안군,35380,15.1,3538,1460.0
164,전라남도,목포시,36010,23.7,3601,1981.0
165,전라남도,여수시,36020,36.1,3602,1323.0
166,전라남도,순천시,36030,26.8,3603,951.0
167,전라남도,나주시,36040,24.2,3604,1331.0
168,전라남도,광양시,36060,35.5,3606,299.0
169,전라남도,담양군,36310,17.5,3631,116.0
170,전라남도,곡성군,36320,14.0,3632,121.0
171,전라남도,구례군,36330,9.9,3633,227.0
172,전라남도,고흥군,36350,12.8,3635,221.0
173,전라남도,보성군,36360,12.1,3636,315.0
174,전라남도,화순군,36370,21.7,3637,161.0
175,전라남도,장흥군,36380,13.1,3638,214.0
176,전라남도,강진군,36390,9.3,3639,661.0
177,전라남도,해남군,36400,11.8,3640,309.0
178,전라남도,영암군,36410,14.8,3641,167.0
179,전라남도,무안군,36420,16.4,3642,164.0
180,전라남도,함평군,36430,10.3,3643,363.0
181,전라남도,영광군,36440,17.4,3644,332.0
182,전라남도,장성군,36450,19.2,3645,318.0
183,전라남도,완도군,36460,13.5,3646,181.0
184,전라남도,진도군,36470,12.4,3647,193.0
185,전라남도,신안군,36480,8.6,3648,3557.0
186,경상북도,포항시,37010,37.1,3701,1392.0
187,경상북도,경주시,37020,27.9,3702,1093.0
188,경상북도,김천시,37030,29.5,3703,1208.0
189,경상북도,안동시,37040,15.7,3704,3789.0
190,경상북도,구미시,37050,47.6,3705,543.0
191,경상북도,영주시,37060,17.6,3706,583.0
192,경상북도,영천시,37070,17.4,3707,450.0
193,경상북도,상주시,37080,13.9,3708,398.0
194,경상북도,문경시,37090,18.3,3709,2100.0
195,경상북도,경산시,37100,30.8,3710,102.0
196,경상북도,군위군,37310,10.6,3731,221.0
197,경상북도,의성군,37320,14.8,3732,126.0
198,경상북도,청송군,37330,10.7,3733,81.0
199,경상북도,영양군,37340,13.6,3734,198.0
200,경상북도,영덕군,37350,13.1,3735,144.0
201,경상북도,청도군,37360,16.1,3736,180.0
202,경상북도,고령군,37370,21.0,3737,274.0
203,경상북도,성주군,37380,15.3,3738,1043.0
204,경상북도,칠곡군,37390,28.9,3739,241.0
205,경상북도,예천군,37400,11.5,3740,167.0
206,경상북도,봉화군,37410,11.2,3741,263.0
207,경상북도,울진군,37420,17.4,3742,28.0
208,경상북도,울릉군,37430,17.1,3743,2121.0
209,경상남도,창원시,38110,43.7,3811,865.0
210,경상남도,진주시,38030,34.1,3803,755.0
211,경상남도,통영시,38050,23.2,3805,4049.0
212,경상남도,사천시,38060,22.6,3806,642.0
213,경상남도,김해시,38070,41.6,3807,2641.0
214,경상남도,밀양시,38080,19.5,3808,3058.0
215,경상남도,거제시,38090,37.9,3809,7603.0
216,경상남도,양산시,38100,42.2,3810,125.0
217,경상남도,의령군,38310,17.2,3831,392.0
218,경상남도,함안군,38320,27.3,3832,384.0
219,경상남도,창녕군,38330,19.4,3833,228.0
220,경상남도,고성군,38340,16.0,3834,124.0
221,경상남도,남해군,38350,15.0,3835,192.0
222,경상남도,하동군,38360,15.0,3836,193.0
223,경상남도,산청군,38370,13.2,3837,156.0
224,경상남도,함양군,38380,17.0,3838,302.0
225,경상남도,거창군,38390,19.4,3839,128.0
226,경상남도,합천군,38400,14.9,3840,3854.0
227,제주특별자치도,제주특별자치도,39,39.6,39,1217.0
