,SGG_cd,SD,SGG,P_ALL,AREA_KM,P_DEN
0,1101,서울특별시,종로구,154770.0,23.97,6456.0
1,1102,서울특별시,중구,125709.0,9.98,12593.09
2,1103,서울특별시,용산구,229161.0,21.88,10475.3
3,1104,서울특별시,성동구,304808.0,16.8,18138.76
4,1105,서울특별시,광진구,357703.0,17.04,20996.98
5,1106,서울특별시,동대문구,350647.0,14.27,24578.33
6,1107,서울특별시,중랑구,408226.0,18.52,22038.66
7,1108,서울특별시,성북구,444055.0,24.56,18080.51
8,1109,서울특별시,강북구,324479.0,23.62,13737.13
9,1110,서울특별시,도봉구,344166.0,20.69,16634.5
10,1111,서울특별시,노원구,554403.0,35.56,15589.74
11,1112,서울특별시,은평구,486794.0,29.77,16349.81
12,1113,서울특별시,서대문구,312800.0,17.67,17697.61
13,1114,서울특별시,마포구,374915.0,23.85,15722.89
14,1115,서울특별시,양천구,471154.0,17.4,27079.47
15,1116,서울특별시,강서구,601691.0,41.43,14524.35
16,1117,서울특별시,구로구,410742.0,20.08,20451.85
17,1118,서울특별시,금천구,235154.0,13.01,18073.0
18,1119,서울특별시,영등포구,368550.0,24.51,15039.33
19,1120,서울특별시,동작구,396217.0,16.37,24198.86
20,1121,서울특별시,관악구,503297.0,29.55,17030.07
21,1122,서울특별시,서초구,441102.0,46.89,9408.17
22,1123,서울특별시,강남구,556164.0,39.46,14094.86
23,1124,서울특별시,송파구,664496.0,33.83,19644.08
24,1125,서울특별시,강동구,436223.0,24.54,17777.54
25,2101,부산광역시,중구,44218.0,3.01,14692.71
26,2102,부산광역시,서구,110039.0,14.13,7790.34
27,2103,부산광역시,동구,88868.0,10.08,8814.46
28,2104,부산광역시,영도구,123521.0,14.61,8454.66
29,2105,부산광역시,부산진구,371703.0,29.74,12496.53
30,2106,부산광역시,동래구,270727.0,16.66,16252.97
31,2107,부산광역시,남구,273854.0,27.24,10052.66
32,2108,부산광역시,북구,302924.0,39.71,7627.84
33,2109,부산광역시,해운대구,412039.0,52.25,7885.17
34,2110,부산광역시,사하구,333301.0,47.43,7027.22
35,2111,부산광역시,금정구,244469.0,65.65,3723.73
36,2112,부산광역시,강서구,117382.0,185.19,633.85
37,2113,부산광역시,연제구,206742.0,12.13,17036.92
38,2114,부산광역시,수영구,179996.0,10.33,17417.27
39,2115,부산광역시,사상구,229219.0,36.2,6332.09
40,2131,부산광역시,기장군,161651.0,219.61,736.08
41,2201,대구광역시,중구,78986.0,7.04,11215.81
42,2202,대구광역시,동구,349379.0,181.48,1925.14
43,2203,대구광역시,서구,191992.0,17.4,11031.65
44,2204,대구광역시,남구,152845.0,17.8,8587.32
